Symbol,Name,Country,IPO Year,Sector,Industry
KE,Kimball Electronics Inc. Common Stock,United States,,Technology,Electrical Products
KELYA,Kelly Services Inc. Class A Common Stock,United States,,Consumer Discretionary,Professional Services
KELYB,Kelly Services Inc. Class B Common Stock,United States,,Consumer Discretionary,Professional Services
KEN,Kenon Holdings Ltd. Ordinary Shares,Singapore,2015,Utilities,Electric Utilities: Central
KEP,Korea Electric Power Corporation Common Stock,South Korea,1994,Utilities,Electric Utilities: Central
KEQU,Kewaunee Scientific Corporation Common Stock,United States,,Industrials,Medical Specialities
KERN,Akerna Corp. Common Stock,United States,2018,Technology,EDP Services
KERNW,Akerna Corp Warrant,United States,2018,Technology,EDP Services
KEX,Kirby Corporation Common Stock,United States,,Consumer Discretionary,Marine Transportation
KEY,KeyCorp Common Stock,United States,,Finance,Major Banks
KEY^I,KeyCorp Depositary Shares Each Representing a 1/40th Ownership Interest in a Share of Fixed-to-Floating Rate Perpetual Non-Cumulative Preferred Stock Series E,United States,,,
KEY^J,KeyCorp Depositary Shares each representing a 1/40th ownership interest in a share of Fixed Rate Perpetual Non-Cumulative Preferred Stock Series F,United States,,,
KEY^K,KeyCorp Depositary Shares each representing a 1/40th ownership interest in a share of Fixed Rate Perpetual Non-Cumulative Preferred Stock Series G,United States,,,
KEY^L,KeyCorp Depositary Shares each representing a 1/40th ownership interest in a share of Fixed Rate Perpetual Non-Cumulative Preferred Stock Series H,United States,,,
KEYS,Keysight Technologies Inc. Common Stock,United States,2014,Industrials,Industrial Machinery/Components
KF,Korea Fund Inc. (The) New Common Stock,United States,,Finance,Investment Managers
KFFB,Kentucky First Federal Bancorp Common Stock,United States,2005,Finance,Savings Institutions
KFRC,Kforce Inc. Common Stock,United States,1995,Consumer Discretionary,Professional Services
KFS,Kingsway Financial Services Inc. Common Stock (DE),Canada,,Finance,Property-Casualty Insurers
KFY,Korn Ferry Common Stock,United States,1999,Consumer Discretionary,Diversified Commercial Services
KGC,Kinross Gold Corporation Common Stock,Canada,2001,Basic Materials,Precious Metals
KGEI,Kolibri Global Energy Inc. Common stock,United States,,Energy,Oil & Gas Production
KGS,Kodiak Gas Services Inc. Common Stock,,2023,,
KHC,The Kraft Heinz Company Common Stock,United States,,Consumer Staples,Packaged Foods
KIDS,OrthoPediatrics Corp. Common Stock,United States,2017,Health Care,Medical/Dental Instruments
KIM,Kimco Realty Corporation (HC) Common Stock,United States,,Real Estate,Real Estate Investment Trusts
KIM^L,Kimco Realty Corporation Class L Depositary Shares each of which represents a one-one thousandth fractional interest in a share of 5.125% Class L Cumulative Redeemable Preferred Stock liquidation preference $25000.00 per share,United States,,,
KIM^M,Kimco Realty Corporation Class M Depositary Shares each of which represents a one-one thousandth fractional interest in a share of 5.25% Class M Cumulative Redeemable Preferred Stock liquidation preference $25000.00 per share,United States,,,
KIND,Nextdoor Holdings Inc. Class A Common Stock,United States,,Technology,Computer Software: Programming Data Processing
KINS,Kingstone Companies Inc. Common Stock,United States,,Finance,Specialty Insurers
KIO,KKR Income Opportunities Fund Common Shares,,2013,Finance,Investment Managers
KIQ,Kelso Technologies Inc Ordinary Shares,Canada,,Industrials,Railroads
KIRK,Kirkland's Inc. COMMONSTOCK,United States,2002,Miscellaneous,Diversified Commercial Services
KITT,Nauticus Robotics Inc. Common stock,United States,2021,Industrials,Industrial Machinery/Components
KITTW,Nauticus Robotics Inc. Warrant,United States,2021,Industrials,Industrial Machinery/Components
KKR,KKR & Co. Inc. Common Stock,United States,,Finance,Investment Managers
KKRS,KKR Group Finance Co. IX LLC 4.625% Subordinated Notes due 2061,United States,2021,,
KLAC,KLA Corporation Common Stock,United States,1980,Technology,Electronic Components
KLG,WK Kellogg Co Common Stock,United States,2023,Consumer Staples,Packaged Foods
KLIC,Kulicke and Soffa Industries Inc. Common Stock,Singapore,,Technology,Semiconductors
KLTR,Kaltura Inc. Common Stock,United States,2021,Technology,EDP Services
KLXE,KLX Energy Services Holdings Inc. Common Stock,United States,,Energy,Oilfield Services/Equipment
KMB,Kimberly-Clark Corporation Common Stock,United States,,Consumer Discretionary,Containers/Packaging
KMDA,Kamada Ltd. Ordinary Shares,Israel,2013,Health Care,Biotechnology: Pharmaceutical Preparations
KMI,Kinder Morgan Inc. Common Stock,United States,2011,Utilities,Natural Gas Distribution
KMPB,Kemper Corporation 5.875% Fixed-Rate Reset Junior Subordinated Debentures due 2062,United States,2022,Finance,Property-Casualty Insurers
KMPR,Kemper Corporation,United States,,Finance,Property-Casualty Insurers
KMT,Kennametal Inc. Common Stock,United States,,Industrials,Industrial Machinery/Components
KMX,CarMax Inc,United States,,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
KN,Knowles Corporation Common Stock,United States,2014,Consumer Staples,Consumer Electronics/Appliances
KNDI,Kandi Technologies Group Inc Common Stock,China,,Consumer Discretionary,Auto Manufacturing
KNF,Knife Riv Holding Co. Common Stock,United States,2023,,
KNOP,KNOT Offshore Partners LP Common Units representing Limited Partner Interests,United Kingdom,2013,Consumer Discretionary,Marine Transportation
KNSA,Kiniksa Pharmaceuticals Ltd. Class A Common Stock,United States,2018,Health Care,Biotechnology: Pharmaceutical Preparations
KNSL,Kinsale Capital Group Inc. Common Stock,United States,,Finance,Property-Casualty Insurers
KNTE,Kinnate Biopharma Inc. Common Stock,United States,2020,Health Care,Biotechnology: Pharmaceutical Preparations
KNTK,Kinetik Holdings Inc. Class A Common Stock,United States,2022,Energy,Oil & Gas Production
KNW,Know Labs Inc. Common Stock,,2022,Industrials,Industrial Machinery/Components
KNX,Knight-Swift Transportation Holdings Inc.,United States,2017,Industrials,Trucking Freight/Courier Services
KO,Coca-Cola Company (The) Common Stock,United States,,Consumer Staples,Beverages (Production/Distribution)
KOD,Kodiak Sciences Inc Common Stock,United States,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
KODK,Eastman Kodak Company Common New,United States,,Consumer Discretionary,Business Services
KOF,Coca Cola Femsa S.A.B. de C.V.  American Depositary Shares each representing 10 Units (each Unit consists of 3 Series B Shares and 5 Series L Shares),Mexico,1993,Consumer Staples,Beverages (Production/Distribution)
KOP,Koppers Holdings Inc. Common Stock,United States,2006,Basic Materials,Forest Products
KOPN,Kopin Corporation Common Stock,United States,1992,Technology,Industrial Machinery/Components
KORE,KORE Group Holdings Inc. Common Stock,United States,,Consumer Discretionary,Telecommunications Equipment
KOS,Kosmos Energy Ltd. Common Shares (DE),Bermuda,2011,Energy,Oil & Gas Production
KOSS,Koss Corporation Common Stock,United States,,Consumer Staples,Consumer Electronics/Appliances
KPLT,Katapult Holdings Inc. Common Stock,United States,2019,Consumer Discretionary,Diversified Commercial Services
KPLTW,Katapult Holdings Inc. Warrant,United States,2019,Consumer Discretionary,Diversified Commercial Services
KPRX,Kiora Pharmaceuticals Inc.  Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
KPTI,Karyopharm Therapeutics Inc. Common Stock,United States,2013,Miscellaneous,Diversified Commercial Services
KR,Kroger Company (The) Common Stock,United States,,Consumer Staples,Food Chains
KRC,Kilroy Realty Corporation Common Stock,United States,1997,Real Estate,Real Estate Investment Trusts
KREF,KKR Real Estate Finance Trust Inc. Common Stock,United States,2017,Real Estate,Real Estate Investment Trusts
KREF^A,KKR Real Estate Finance Trust Inc. 6.50% Series A Cumulative Redeemable Preferred Stock,United States,,,
KRG,Kite Realty Group Trust Common Stock,United States,2004,Real Estate,Real Estate Investment Trusts
KRKR,36Kr Holdings Inc. American Depositary Shares,China,2019,Consumer Discretionary,Business Services
KRMD,KORU Medical Systems Inc. Common Stock (DE),United States,,Health Care,Medical/Dental Instruments
KRNL,Kernel Group Holdings Inc. Class A Ordinary Shares,United States,2021,Finance,Blank Checks
KRNLW,Kernel Group Holdings Inc. Warrants,United States,2021,Finance,Blank Checks
KRNT,Kornit Digital Ltd. Ordinary Shares,Israel,2015,Industrials,Industrial Machinery/Components
KRNY,Kearny Financial Corp Common Stock,United States,2005,Finance,Savings Institutions
KRO,Kronos Worldwide Inc Common Stock,United States,,Industrials,Major Chemicals
KRON,Kronos Bio Inc. Common Stock,United States,2020,Health Care, Medicinal Chemicals and Botanical Products 
KROS,Keros Therapeutics Inc. Common Stock,United States,2020,Health Care,Biotechnology: Pharmaceutical Preparations
KRP,Kimbell Royalty Partners Common Units Representing Limited Partner Interests,United States,2017,Energy,Oil & Gas Production
KRRO,Korro Bio Inc. Common Stock,United States,2019,Health Care,Biotechnology: Pharmaceutical Preparations
KRT,Karat Packaging Inc. Common Stock,United States,2021,Industrials,Plastic Products
KRTX,Karuna Therapeutics Inc. Common Stock,United States,2019,Health Care,Biotechnology: Pharmaceutical Preparations
KRUS,Kura Sushi USA Inc. Class A Common Stock,United States,2019,Consumer Discretionary,Restaurants
KRYS,Krystal Biotech Inc. Common Stock,United States,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
KSCP,Knightscope Inc. Class A Common Stock,United States,2022,Telecommunications,Telecommunications Equipment
KSM,DWS Strategic Municipal Income Trust,United States,1989,Finance,Trusts Except Educational Religious and Charitable
KSS,Kohl's Corporation Common Stock,United States,1992,Consumer Discretionary,Department/Specialty Retail Stores
KT,KT Corporation Common Stock,South Korea,,Telecommunications,Telecommunications Equipment
KTB,Kontoor Brands Inc. Common Stock ,United States,2019,Consumer Discretionary,Apparel
KTCC,Key Tronic Corporation Common Stock,United States,1983,Technology,Electrical Products
KTF,DWS Municipal Income Trust,United States,1988,Finance,Finance Companies
KTH,Structures Products Cp 8% CorTS Issued by Peco Energy Cap Tr II Preferred Stock,United States,,Finance,Investment Managers
KTN,Structured Products Corp 8.205% CorTS 8.205% Corporate Backed Trust Securities (CorTS),United States,,Finance,Finance: Consumer Services
KTOS,Kratos Defense & Security Solutions Inc. Common Stock,United States,,Industrials,Military/Government/Technical
KTRA,Kintara Therapeutics Inc. Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
KTTA,Pasithea Therapeutics Corp. Common Stock,United States,2021,Health Care,Biotechnology: Pharmaceutical Preparations
KUKE,Kuke Music Holding Limited American Depositary Shares each representing one Ordinary Share,,2021,Real Estate,Other Consumer Services
KULR,KULR Technology Group Inc. Common Stock,United States,,Technology,Electrical Products
KURA,Kura Oncology Inc. Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
KVAC,Keen Vision Acquisition Corporation Ordinary Shares,United States,2023,,
KVACU,Keen Vision Acquisition Corporation Units,United States,2023,,
KVACW,Keen Vision Acquisition Corporation Warrant,United States,2023,,
KVHI,KVH Industries Inc. Common Stock,United States,1996,Technology,Radio And Television Broadcasting And Communications Equipment
KVUE,Kenvue Inc. Common Stock,United States,2023,Consumer Discretionary,Specialty Chemicals
KVYO,Klaviyo Inc. Series A Common Stock,,2023,,
KW,Kennedy-Wilson Holdings Inc. Common Stock,United States,,Finance,Real Estate
KWE,KWESST Micro Systems Inc. Common Stock,Canada,,Technology,Computer Software: Prepackaged Software
KWR,Quaker Houghton Common Stock,United States,,Industrials,Major Chemicals
KXIN,Kaixin Auto Holdings Ordinary Shares,China,2017,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
KYCH,Keyarch Acquisition Corporation Ordinary Shares,United States,2022,Finance,Blank Checks
KYCHR,Keyarch Acquisition Corporation Rights,United States,2022,Finance,Blank Checks
KYMR,Kymera Therapeutics Inc. Common Stock,United States,2020,Health Care, Medicinal Chemicals and Botanical Products 
KYN,Kayne Anderson Energy Infrastructure Fund Inc.,United States,2004,Finance,Finance/Investors Services
KZIA,Kazia Therapeutics Limited American Depositary Shares,Australia,,Health Care,Biotechnology: Pharmaceutical Preparations
KZR,Kezar Life Sciences Inc. Common Stock,United States,2018,Health Care,Biotechnology: Pharmaceutical Preparations
L,Loews Corporation Common Stock,United States,,Finance,Property-Casualty Insurers
LAAC,Lithium Americas (Argentina) Corp. Common Shares,Canada,2023,,
LAB,Standard BioTools Inc. Common Stock,United States,2011,Industrials,Biotechnology: Laboratory Analytical Instruments
LABP,Landos Biopharma Inc. Common Stock,United States,2021,Health Care, Medicinal Chemicals and Botanical Products 
LAC,Lithium Americas Corp. Common Shares,Canada,2023,Basic Materials,Metal Mining
LAD,Lithia Motors Inc. Common Stock,United States,,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
LADR,Ladder Capital Corp Class A Common Stock,United States,2014,Real Estate,Real Estate Investment Trusts
LAES,SEALSQ Corp Ordinary Shares,Switzerland,,Technology,Semiconductors
LAKE,Lakeland Industries Inc. Common Stock,United States,1986,Health Care,Industrial Specialties
LAMR,Lamar Advertising Company Class A Common Stock,United States,1996,Real Estate,Real Estate Investment Trusts
LANC,Lancaster Colony Corporation Common Stock,United States,,Consumer Staples,Packaged Foods
LAND,Gladstone Land Corporation Common Stock,United States,1993,Real Estate,Real Estate Investment Trusts
LANDM,Gladstone Land Corporation 5.00% Series D Cumulative Term Preferred Stock,United States,,Real Estate,Real Estate Investment Trusts
LANDO,Gladstone Land Corporation 6.00% Series B Cumulative Redeemable Preferred Stock,United States,,Real Estate,Real Estate Investment Trusts
LANDP,Gladstone Land Corporation 6.00% Series C Cumulative Redeemable Preferred Stock,United States,,Real Estate,Real Estate Investment Trusts
LANV,Lanvin Group Holdings Limited Ordinary Shares,Cayman Islands,2022,Finance,Blank Checks
LARK,Landmark Bancorp Inc. Common Stock,United States,,Finance,Major Banks
LASE,Laser Photonics Corporation Common Stock,United States,2022,Industrials,Industrial Machinery/Components
LASR,nLIGHT Inc. Common Stock,United States,2018,Technology,Semiconductors
LATG,Chenghe Acquisition I Co. Class A Ordinary Shares,Mexico,2022,Finance,Blank Checks
LAUR,Laureate Education Inc. Common Stock,United States,2017,Real Estate,Other Consumer Services
LAW,CS Disco Inc. Common Stock,United States,2021,Technology,Computer Software: Prepackaged Software
LAZ,Lazard Inc. Common Stock,Bermuda,2005,Finance,Investment Managers
LAZR,Luminar Technologies Inc.  Class A Common Stock,United States,2019,Technology,EDP Services
LAZY,Lazydays Holdings Inc. Common Stock,United States,,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
LBAI,Lakeland Bancorp Inc. Common Stock,United States,,Finance,Major Banks
LBBB,Lakeshore Acquisition II Corp. Ordinary Shares,United States,2022,Finance,Blank Checks
LBC,Luther Burbank Corporation Common Stock,United States,2017,Finance,Major Banks
LBPH,Longboard Pharmaceuticals Inc. Common Stock,United States,2021,Health Care,Biotechnology: Pharmaceutical Preparations
LBRDA,Liberty Broadband Corporation Class A Common Stock,United States,,Telecommunications,Cable & Other Pay Television Services
LBRDK,Liberty Broadband Corporation Class C Common Stock,United States,,Telecommunications,Cable & Other Pay Television Services
LBRDP,Liberty Broadband Corporation Series A Cumulative Redeemable Preferred Stock,United States,,Telecommunications,Cable & Other Pay Television Services
LBRT,Liberty Energy Inc. Class A common stock,United States,2018,Energy,Oilfield Services/Equipment
LBTYA,Liberty Global Ltd. Class A Common Shares,United Kingdom,,Telecommunications,Cable & Other Pay Television Services
LBTYB,Liberty Global Ltd. Class B Common Shares,United Kingdom,,Telecommunications,Cable & Other Pay Television Services
LBTYK,Liberty Global Ltd. Class C Common Shares,United Kingdom,,Telecommunications,Cable & Other Pay Television Services
LC,LendingClub Corporation Common Stock,United States,2014,Finance,Finance: Consumer Services
LCAA,L Catterton Asia Acquisition Corp Class A Ordinary Shares,Singapore,2021,Finance,Blank Checks
LCAAW,L Catterton Asia Acquisition Corp Warrant,Singapore,2021,Finance,Blank Checks
LCAHW,Landcadia Holdings IV Inc. Warrant ,United States,2021,Finance,Blank Checks
LCFY,Locafy Limited Ordinary Share,Australia,2022,,
LCFYW,Locafy Limited Warrant,Australia,2022,,
LCID,Lucid Group Inc. Common Stock,United States,,Consumer Discretionary,Auto Manufacturing
LCII,LCI Industries,United States,1995,Consumer Discretionary,Auto Parts:O.E.M.
LCNB,LCNB Corporation Common Stock,United States,,Finance,Major Banks
LCTX,Lineage Cell Therapeutics Inc. Common Stock,United States,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LCUT,Lifetime Brands Inc. Common Stock,United States,1991,Consumer Discretionary,Industrial Machinery/Components
LCW,Learn CW Investment Corporation Class A Ordinary Shares,,2021,Finance,Blank Checks
LDI,loanDepot Inc. Class A Common Stock,United States,2021,Finance,Finance: Consumer Services
LDOS,Leidos Holdings Inc. Common Stock,United States,,Technology,EDP Services
LDP,Cohen & Steers Limited Duration Preferred and Income Fund Inc.,United States,2012,Finance,Finance Companies
LDTC,LeddarTech Holdings Inc. Common Shares,United States,2021,Finance,Blank Checks
LDTCW,LeddarTech Holdings Inc. Warrants,United States,2021,Finance,Blank Checks
LDWY,Lendway Inc. Common Stock (DE),United States,,Consumer Discretionary,Advertising
LE,Lands' End Inc. Common Stock,United States,,Consumer Discretionary,Clothing/Shoe/Accessory Stores
LEA,Lear Corporation Common Stock,United States,,Consumer Discretionary,Auto Parts:O.E.M.
LECO,Lincoln Electric Holdings Inc. Common Shares,United States,,Industrials,Industrial Machinery/Components
LEDS,SemiLEDS Corporation Common Stock,Taiwan,2010,Technology,Semiconductors
LEE,Lee Enterprises Incorporated Common Stock,United States,,Consumer Discretionary,Newspapers/Magazines
LEG,Leggett & Platt Incorporated Common Stock,United States,,Consumer Discretionary,Home Furnishings
LEGH,Legacy Housing Corporation Common Stock (TX),United States,2018,Consumer Discretionary,Homebuilding
LEGN,Legend Biotech Corporation American Depositary Shares,United States,2020,Health Care,Biotechnology: Pharmaceutical Preparations
LEJU,Leju Holdings Limited American Depositary Shares each representing one Ordinary share,,2014,Finance,Real Estate
LEN,Lennar Corporation Class A Common Stock,United States,,Consumer Discretionary,Homebuilding
LEO,BNY Mellon Strategic Municipals Inc. Common Stock,United States,1987,Finance,Trusts Except Educational Religious and Charitable
LESL,Leslie's Inc. Common Stock,United States,2020,Miscellaneous,Diversified Commercial Services
LEU,Centrus Energy Corp. Class A Common Stock,United States,2014,,
LEV,The Lion Electric Company Common Shares,Canada,2021,Consumer Discretionary,Auto Manufacturing
LEVI,Levi Strauss & Co Class A Common Stock,United States,2019,Consumer Discretionary,Apparel
LEXX,Lexaria Bioscience Corp. Common Stock,Canada,,Health Care,Biotechnology: Pharmaceutical Preparations
LFCR,Lifecore Biomedical Inc. Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
LFLY,Leafly Holdings Inc. Common Stock,United States,2019,Technology,Computer Software: Prepackaged Software
LFLYW,Leafly Holdings Inc. Warrant,United States,2019,Technology,Computer Software: Prepackaged Software
LFMD,LifeMD Inc. Common Stock,United States,,Health Care,Medical/Nursing Services
LFMDP,LifeMD Inc. 8.875% Series A Cumulative Perpetual Preferred Stock,United States,,Health Care,Medical/Nursing Services
LFST,LifeStance Health Group Inc. Common Stock,United States,2021,Health Care,Medical/Nursing Services
LFT,Lument Finance Trust Inc. Common Stock,United States,2013,Real Estate,Real Estate Investment Trusts
LFT^A,Lument Finance Trust Inc. 7.875% Series A Cumulative Redeemable Preferred Stock,United States,,,
LFUS,Littelfuse Inc. Common Stock,United States,,Energy,Electrical Products
LFVN,Lifevantage Corporation Common Stock (Delaware),United States,,Health Care,Biotechnology: Pharmaceutical Preparations
LGCB,Linkage Global Inc Ordinary Shares,Japan,2023,,
LGHL,Lion Group Holding Ltd. American Depositary Share,China,,Finance,Investment Bankers/Brokers/Service
LGHLW,Lion Group Holding Ltd. Warrant,China,,Finance,Investment Bankers/Brokers/Service
LGI,Lazard Global Total Return and Income Fund Common Stock,United States,2004,,
LGIH,LGI Homes Inc. Common Stock,United States,2013,Consumer Discretionary,Homebuilding
LGL,LGL Group Inc. (The) Common Stock,United States,1946,Technology,Industrial Machinery/Components
LGMK,LogicMark Inc. Common Stock (NV),United States,,Health Care,Industrial Specialties
LGND,Ligand Pharmaceuticals Incorporated Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
LGO,Largo Inc. Common Shares,Canada,,,
LGST,Semper Paratus Acquisition Corporation Class A Ordinary Shares,United States,2022,Finance,Blank Checks
LGSTW,Semper Paratus Acquisition Corporation Warrant,United States,2022,Finance,Blank Checks
LGVC,LAMF Global Ventures Corp. I Class A Ordinary Shares,United States,2021,,
LGVCW,LAMF Global Ventures Corp. I Warrant,United States,2021,,
LGVN,Longeveron Inc. Class A Common Stock,United States,2021,Health Care, Medicinal Chemicals and Botanical Products 
LH,Laboratory Corporation of America Holdings Common Stock,United States,,Health Care,Medical Specialities
LHX,L3Harris Technologies Inc. Common Stock,United States,,Industrials,Industrial Machinery/Components
LI,Li Auto Inc. American Depositary Shares,China,2020,Consumer Discretionary,Auto Manufacturing
LIAN,LianBio American Depositary Shares,United States,2021,Health Care,Biotechnology: Pharmaceutical Preparations
LIBY,Liberty Resources Acquisition Corp. Class A Common Stock,United States,2021,Finance,Blank Checks
LIBYW,Liberty Resources Acquisition Corp. Warrant,United States,2021,Finance,Blank Checks
LICN,Lichen China Limited Class A Ordinary Shares,China,2023,,
LICY,Li-Cycle Holdings Corp. Common Shares,Canada,2021,Industrials,Environmental Services
LIDR,AEye Inc. Class A Common Stock,United States,2021,Consumer Discretionary,Auto Parts:O.E.M.
LIDRW,AEye Inc. Warrant,United States,2021,Consumer Discretionary,Auto Parts:O.E.M.
LIFE,aTyr Pharma Inc. Common Stock,United States,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LIFW,MSP Recovery Inc. Class A Common Stock,United States,2020,Technology,Computer Software: Prepackaged Software
LIFWW,MSP Recovery Inc. Warrant,United States,,Technology,Computer Software: Prepackaged Software
LII,Lennox International Inc. Common Stock,United States,1999,Industrials,Industrial Machinery/Components
LILA,Liberty Latin America Ltd. Class A Common Stock,United States,,Telecommunications,Cable & Other Pay Television Services
LILAK,Liberty Latin America Ltd. Class C Common Stock,United States,,Telecommunications,Cable & Other Pay Television Services
LILM,Lilium NV Class A Ordinary Shares,Germany,,Industrials,Aerospace
LILMW,Lilium N.V. Warrants,Germany,,Industrials,Aerospace
LIN,Linde plc Ordinary Shares,United States,,Industrials,Major Chemicals
LINC,Lincoln Educational Services Corporation Common Stock,United States,2005,Real Estate,Other Consumer Services
LIND,Lindblad Expeditions Holdings Inc. Common Stock,United States,2013,Consumer Discretionary,Transportation Services
LINK,Interlink Electronics Inc. Common Stock,United States,,Technology,Industrial Machinery/Components
LIPO,Lipella Pharmaceuticals Inc. Common Stock,United States,2022,Health Care,Biotechnology: Pharmaceutical Preparations
LIQT,LiqTech International Inc. Common Stock,Denmark,,Technology,Industrial Machinery/Components
LITB,LightInTheBox Holding Co. Ltd. American Depositary Shares each representing 2 ordinary shares,China,2013,Consumer Discretionary,Catalog/Specialty Distribution
LITE,Lumentum Holdings Inc. Common Stock,United States,,Telecommunications,Telecommunications Equipment
LITM,Snow Lake Resources Ltd. Common Shares,Canada,2021,,
LIVE,Live Ventures Incorporated Common Stock,United States,,Consumer Discretionary,Other Specialty Stores
LIVN,LivaNova PLC Ordinary Shares,United Kingdom,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
LIXT,Lixte Biotechnology Holdings Inc. Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
LIZI,LIZHI INC. American Depositary Shares,China,2020,Technology,Computer Software: Programming Data Processing
LKCO,Luokung Technology Corp Ordinary Shares,China,,Technology,EDP Services
LKFN,Lakeland Financial Corporation Common Stock,United States,,Finance,Major Banks
LKQ,LKQ Corporation Common Stock,United States,2003,Consumer Discretionary,Motor Vehicles
LL,LL Flooring Holdings Inc. Common Stock,United States,2007,Consumer Discretionary,RETAIL: Building Materials
LLAP,Terran Orbital Corporation Common Stock,United States,2021,Industrials,Military/Government/Technical
LLY,Eli Lilly and Company Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
LLYVA,Liberty Media Corporation Series A Liberty Live Common Stock,United States,,Industrials,Broadcasting
LLYVK,Liberty Media Corporation Series C Liberty Live Common Stock,United States,,Industrials,Broadcasting
LMAT,LeMaitre Vascular Inc. Common Stock,United States,2006,Health Care,Medical/Dental Instruments
LMB,Limbach Holdings Inc. Common Stock,United States,,Consumer Discretionary,Engineering & Construction
LMDX,LumiraDx Limited Common Shares,Cayman Islands,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
LMDXW,LumiraDx Limited Warrant,Cayman Islands,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
LMFA,LM Funding America Inc. Common Stock,United States,2015,Finance,Finance: Consumer Services
LMND,Lemonade Inc. Common Stock,United States,2020,Finance,Property-Casualty Insurers
LMNR,Limoneira Co Common Stock,United States,,Consumer Staples,Farming/Seeds/Milling
LMT,Lockheed Martin Corporation Common Stock,United States,,Industrials,Military/Government/Technical
LNC,Lincoln National Corporation Common Stock,United States,,Finance,Life Insurance
LNC^D,Lincoln National Corporation Depositary Shares Each Representing a 1/1000th Interest in a Share of 9.000% Non-Cumulative Preferred Stock Series D,United States,,,
LND,Brasilagro Brazilian Agric Real Estate Co Sponsored ADR (Brazil),Brazil,,Consumer Staples,Farming/Seeds/Milling
LNG,Cheniere Energy Inc. Common Stock,United States,2001,Utilities,Oil/Gas Transmission
LNKB,LINKBANCORP Inc. Common Stock,United States,,,
LNN,Lindsay Corporation Common Stock,United States,,Industrials,Industrial Machinery/Components
LNSR,LENSAR Inc. Common Stock,United States,,Health Care,Medical Electronics
LNT,Alliant Energy Corporation Common Stock,United States,,Utilities,Power Generation
LNTH,Lantheus Holdings Inc. Common Stock,United States,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
LNW,Light & Wonder Inc. Common Stock,United States,,Technology,EDP Services
LNZA,LanzaTech Global Inc. Common Stock,United States,2021,Industrials,Major Chemicals
LNZAW,LanzaTech Global Inc. Warrant,United States,2021,Industrials,Major Chemicals
LOAN,Manhattan Bridge Capital Inc,United States,,Real Estate,Real Estate Investment Trusts
LOB,Live Oak Bancshares Inc. Common Stock,United States,2022,Finance,Major Banks
LOCL,Local Bounti Corporation Common Stock,,2021,Consumer Staples,Farming/Seeds/Milling
LOCO,El Pollo Loco Holdings Inc. Common Stock,United States,2014,Consumer Discretionary,Restaurants
LODE,Comstock Inc. Common Stock,United States,,Finance,Real Estate
LOGI,Logitech International S.A. Ordinary Shares,United States,1997,Technology,Computer peripheral equipment
LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima ADS,Argentina,2017,Industrials,Building Materials
LOOP,Loop Industries Inc. Common Stock,Canada,,Industrials,Major Chemicals
LOPE,Grand Canyon Education Inc. Common Stock,United States,2008,Real Estate,Other Consumer Services
LOVE,The Lovesac Company Common Stock,United States,2018,Consumer Discretionary,Other Specialty Stores
LOW,Lowe's Companies Inc. Common Stock,United States,,Consumer Discretionary,RETAIL: Building Materials
LPCN,Lipocine Inc. Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
LPG,Dorian LPG Ltd. Common Stock,United States,2014,Consumer Discretionary,Marine Transportation
LPL,LG Display Co Ltd AMERICAN DEPOSITORY SHARES,South Korea,2004,Technology,Industrial Machinery/Components
LPLA,LPL Financial Holdings Inc. Common Stock,United States,2010,Finance,Investment Bankers/Brokers/Service
LPRO,Open Lending Corporation Common Stock,United States,,Finance,Finance: Consumer Services
LPSN,LivePerson Inc. Common Stock,United States,2000,Technology,Computer Software: Prepackaged Software
LPTH,LightPath Technologies Inc. Class A Common Stock,United States,1996,Technology,Semiconductors
LPTV,Loop Media Inc. Common Stock,United States,2022,Industrials,Broadcasting
LPTX,Leap Therapeutics Inc. Common Stock,United States,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LPX,Louisiana-Pacific Corporation Common Stock,United States,,Basic Materials,Forest Products
LQDA,Liquidia Corporation Common Stock,United States,2018,Health Care,Biotechnology: Pharmaceutical Preparations
